dataset,mode,k,normalize_inputs,nonzero_mse_weight,alignment_weight,sparsity_weight,max_iter,random_state,train_seconds,n_iter,W_sparsity,silhouette_label,silhouette_batch
sim1,batch_aware,20,True,0.0,8.0,0.01,500,0,2.16441697627306,500,0.2564106803339671,0.3341975510120392,0.17282667756080627
sim1,batch_aware,30,True,0.0,0.5,0.01,500,0,2.195773132145405,500,0.27404866220275,0.31468117237091064,0.10539311170578003
sim1,batch_aware,30,True,0.0,2.0,0.01,500,0,2.2053507789969444,500,0.28937753161940977,0.29697176814079285,0.13333944976329803
sim1,batch_aware,30,True,0.0,8.0,0.01,500,0,2.1975074633955956,500,0.2958557218043041,0.2962915599346161,0.1412922888994217
sim1,batch_aware,50,True,0.0,0.5,0.01,500,0,2.32702150195837,500,0.3610878730263702,0.23598381876945496,0.09612195193767548
sim1,batch_aware,50,True,0.0,2.0,0.01,500,0,2.3384343311190605,500,0.3708688104488716,0.22941020131111145,0.10636015981435776
sim1,batch_aware,50,True,0.0,8.0,0.01,500,0,2.326272241771221,500,0.37622551045713815,0.22780202329158783,0.1080564484000206
sim1,batch_aware,100,True,0.0,0.5,0.01,500,0,3.1199264153838158,500,0.5127287757295197,0.14562074840068817,0.0732441172003746
sim1,batch_aware,100,True,0.0,2.0,0.01,500,0,3.1163598150014877,500,0.5191741754153922,0.14517951011657715,0.07591821998357773
sim1,batch_aware,100,True,0.0,8.0,0.01,500,0,3.1206781417131424,500,0.5234760684467223,0.14579109847545624,0.07645337283611298
